label: ulam_primes
N: 10000
K: 5
tau: 0.5
M: 1229
L_greedy: 95
LP_one_shot: 77.5923
L_iterated: 89
n_multi_lines: 89
n_singletons: 0
n_rounds: 3
t_greedy: 0.11
t_lp_init: 1.21
t_iter: 1.54
# history:
#   {'round': 0, 'uncovered_in': 1229, 'lp_value': 77.59230367041131, 'rounded': 40, 'covered_by_round': 875}
#   {'round': 1, 'uncovered_in': 354, 'lp_value': 46.08612002179899, 'rounded': 33, 'covered_by_round': 302}
#   {'round': 2, 'uncovered_in': 52, 'lp_value': 15.999999999999982, 'rounded': 16, 'covered_by_round': 52}
